plate_key,population,acclimation_level,well,percentage,expt_light_level,plate,multitron,slot,read_at_19_12_18_0900,read_at_19_12_18_1500
1,25,LL,B02,0.1,L1,1,5,15,1,1
1,25,LL,B02,0.5-0.7,L2,4,5,19,1,NA
1,25,LL,B02,2,L3,7,5,8,1,1
1,25,LL,B02,5,L4,10,5,18,1,NA
1,25,LL,B02,11,L5,13,6,9,1,NA
1,25,HL,B02,20,L6,16,4,8,1,1
1,25,HL,B02,33,L7,19,6,17,1,NA
1,25,HL,B02,50,L8,22,4,15,1,1
1,25,HL,B02,70,L9,25,6,3,1,NA
1,25,HL,B02,100,L10,28,5,3,1,NA
1,19,LL,B03,0.1,L1,1,5,15,1,1
1,19,LL,B03,0.5-0.7,L2,4,5,19,1,NA
1,19,LL,B03,2,L3,7,5,8,1,1
1,19,LL,B03,5,L4,10,5,18,1,NA
1,19,LL,B03,11,L5,13,6,9,1,NA
1,19,HL,B03,20,L6,16,4,8,1,1
1,19,HL,B03,33,L7,19,6,17,1,NA
1,19,HL,B03,50,L8,22,4,15,1,1
1,19,HL,B03,70,L9,25,6,3,1,NA
1,19,HL,B03,100,L10,28,5,3,1,NA
1,14,LL,B04,0.1,L1,1,5,15,1,1
1,14,LL,B04,0.5-0.7,L2,4,5,19,1,NA
1,14,LL,B04,2,L3,7,5,8,1,1
1,14,LL,B04,5,L4,10,5,18,1,NA
1,14,LL,B04,11,L5,13,6,9,1,NA
1,14,HL,B04,20,L6,16,4,8,1,1
1,14,HL,B04,33,L7,19,6,17,1,NA
1,14,HL,B04,50,L8,22,4,15,1,1
1,14,HL,B04,70,L9,25,6,3,1,NA
1,14,HL,B04,100,L10,28,5,3,1,NA
1,8,LL,B05,0.1,L1,1,5,15,1,1
1,8,LL,B05,0.5-0.7,L2,4,5,19,1,NA
1,8,LL,B05,2,L3,7,5,8,1,1
1,8,LL,B05,5,L4,10,5,18,1,NA
1,8,LL,B05,11,L5,13,6,9,1,NA
1,8,HL,B05,20,L6,16,4,8,1,1
1,8,HL,B05,33,L7,19,6,17,1,NA
1,8,HL,B05,50,L8,22,4,15,1,1
1,8,HL,B05,70,L9,25,6,3,1,NA
1,8,HL,B05,100,L10,28,5,3,1,NA
1,23,LL,B06,0.1,L1,1,5,15,1,1
1,23,LL,B06,0.5-0.7,L2,4,5,19,1,NA
1,23,LL,B06,2,L3,7,5,8,1,1
1,23,LL,B06,5,L4,10,5,18,1,NA
1,23,LL,B06,11,L5,13,6,9,1,NA
1,23,HL,B06,20,L6,16,4,8,1,1
1,23,HL,B06,33,L7,19,6,17,1,NA
1,23,HL,B06,50,L8,22,4,15,1,1
1,23,HL,B06,70,L9,25,6,3,1,NA
1,23,HL,B06,100,L10,28,5,3,1,NA
1,11,LL,B07,0.1,L1,1,5,15,1,1
1,11,LL,B07,0.5-0.7,L2,4,5,19,1,NA
1,11,LL,B07,2,L3,7,5,8,1,1
1,11,LL,B07,5,L4,10,5,18,1,NA
1,11,LL,B07,11,L5,13,6,9,1,NA
